"Water Control Zone","Station","Dates","Sample No","Depth","Chlorophyll-a (μg/L)","Dissolved Oxygen (mg/L)","pH","Salinity (psu)","Turbidity (NTU)","Temperature (°C)","Suspended Solids (mg/L)","Total Inorganic Nitrogen (mg/L)"
"Tolo Harbour and Channel","TM2","1988-03-02","1","Surface Water","6.1","6.2","8.2","30.5","2.9","16.3","13","0.7"
"Tolo Harbour and Channel","TM2","1988-03-02","1","Bottom Water","5.9","6.2","8.1","30.7","2","16.3","3.5","0.58"
"Tolo Harbour and Channel","TM2","1988-03-16","1","Surface Water","7.8","5.7","8.2","31.9","4.6","16.3","25","0.06"
"Tolo Harbour and Channel","TM2","1988-03-16","1","Bottom Water","3.2","4.4","8","32.1","3","16","18","0.06"
"Tolo Harbour and Channel","TM2","1988-03-30","1","Surface Water","10","6.4","8.4","30","6.6","17.7","16","0.25"
"Tolo Harbour and Channel","TM2","1988-03-30","1","Bottom Water","33","6.2","8.3","30","9.8","17.7","17","0.36"
"Tolo Harbour and Channel","TM2","1988-04-13","1","Surface Water","0.4","7.6","7.9","27.8","3.2","18","2","0.42"
"Tolo Harbour and Channel","TM2","1988-04-13","1","Bottom Water","30","1.7","8.5","31.4","14.5","17.2","6.5","0.58"
"Tolo Harbour and Channel","TM2","1988-04-27","1","Surface Water","110","9.1","8.3","30.3","21.2","21","8.5","0.87"
"Tolo Harbour and Channel","TM2","1988-04-27","1","Bottom Water","<0.2","1.8","8.1","31","3.9","19","1.5","0.35"
"Tolo Harbour and Channel","TM2","1988-05-11","1","Surface Water","130","11.5","9","24.3","9.7","24.3","9","0.06"
"Tolo Harbour and Channel","TM2","1988-05-11","1","Bottom Water","78","3.6","8.8","24.9","8","23.6","7","0.08"
"Tolo Harbour and Channel","TM2","1988-05-19","1","Surface Water","12","6","8.4","29.4","7.3","25.5","5","0.65"
"Tolo Harbour and Channel","TM2","1988-05-19","1","Bottom Water","1.5","2.3","8.3","30.5","4","25.1","2","0.28"
"Tolo Harbour and Channel","TM2","1988-05-25","1","Surface Water","3.8","2.5","8","31.9","2.8","24.8","2","0.28"
"Tolo Harbour and Channel","TM2","1988-05-25","1","Bottom Water","2.7","2.5","8.1","32","5.8","24.7","2","0.28"
"Tolo Harbour and Channel","TM2","1988-06-08","1","Surface Water","38","8.3","8.4","31.6","3.5","27.8","5","0.1"
"Tolo Harbour and Channel","TM2","1988-06-08","1","Bottom Water","19","4.3","8.4","31.8","2.9","26.8","4","0.08"
"Tolo Harbour and Channel","TM2","1988-06-22","1","Surface Water","1.1","1.6","8.1","32.7","2.4","28.5","1","0.04"
"Tolo Harbour and Channel","TM2","1988-06-22","1","Bottom Water","1.3","0.6","8.1","32.8","2.2","28.1","0.5","0.04"
"Tolo Harbour and Channel","TM2","1988-07-06","1","Surface Water","9.3","6.7","8.3","31.6","5.3","29","3","0.48"
"Tolo Harbour and Channel","TM2","1988-07-06","1","Bottom Water","4.6","1.4","8.2","32.2","3.2","27.9","2","0.07"
"Tolo Harbour and Channel","TM2","1988-07-20","1","Surface Water","2.4","2.2","7.6","30.9","6.4","25.5","3.5","0.2"
"Tolo Harbour and Channel","TM2","1988-07-20","1","Bottom Water","5.3","0.8","7.8","33.3","4.9","25","2.5","0.2"
"Tolo Harbour and Channel","TM2","1988-08-03","1","Surface Water","46","7.9","8.5","31.4","5.4","27.8","6","0.2"
"Tolo Harbour and Channel","TM2","1988-08-03","1","Bottom Water","23","6.7","8.5","32.5","3.7","27.3","4","0.07"
"Tolo Harbour and Channel","TM2","1988-08-17","1","Surface Water","16","2.5","8.3","28.8","3.7","27.7","3","0.7"
"Tolo Harbour and Channel","TM2","1988-08-17","1","Bottom Water","14","1.4","8.3","30.5","3.7","27.5","2","0.62"
"Tolo Harbour and Channel","TM2","1988-09-02","1","Surface Water","2.1","2.7","8.1","32.6","4.7","27","1.5","0.15"
"Tolo Harbour and Channel","TM2","1988-09-02","1","Bottom Water","2.3","0.7","8.1","33.4","4.4","25.5","1.5","0.15"
"Tolo Harbour and Channel","TM2","1988-09-14","1","Surface Water","19","8.4","8.6","32","4.5","28","4","0.35"
"Tolo Harbour and Channel","TM2","1988-09-14","1","Bottom Water","22","9","8.8","32.3","5","28.8","5","0.01"
